实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Arthur Samuel,PERSON,3,,,"r Strachey at the University of Manchester and by Arthur Samuel at IBM. However, Alan Turing’s vision was the mos"
IBM,ORG,5,,," University of Manchester and by Arthur Samuel at IBM. However, Alan Turing’s vision was the most influ"
the London Mathematical Society,ORG,1,,,He gave lectures on the topic as early as 1947 at the London Mathematical Society and articulated a persuasive agenda in his 1950 a
"Computing
Machinery and Intelligence",WORK_OF_ART,1,,,"iculated a persuasive agenda in his 1950 article “Computing
Machinery and Intelligence.” Therein, he introduced the Turing test, machine"
Dartmouth College,ORG,2,,,"In 1955, John McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel R"
Claude Shannon,PERSON,1,,,"n McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring togeth"
Nathaniel Rochester,PERSON,2,,,"uth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring together U.S. researchers inter"
U.S.,GPE,8,,,"nd Nathaniel Rochester to help him bring together U.S. researchers interested in automata theory, neural"
Dartmouth,ORG,3,,,elligence. They organized a two-month workshop at Dartmouth in the summer of 1956. There were 10 attendees in
Carnegie Tech,ORG,1,,,"ll, including Allen Newell and Herbert Simon from Carnegie Tech,
11
Trenchard More from Princeton, Arthur Samuel "
Ray Solomonoff,PERSON,1,,," More from Princeton, Arthur Samuel from IBM, and Ray Solomonoff and Oliver Selfridge from MIT. The proposal state"
Oliver Selfridge,PERSON,1,,,"n, Arthur Samuel from IBM, and Ray Solomonoff and Oliver Selfridge from MIT. The proposal states:
12
We propose that"
Hanover,GPE,1,,,"during the summer of 1956 at Dartmouth College in Hanover, New Hampshire. The study is to proceed on the ba"
New Hampshire,GPE,1,,,"e summer of 1956 at Dartmouth College in Hanover, New Hampshire. The study is to proceed on the basis of the conj"
Newell,PERSON,4,,,"mouth workshop did not lead to any breakthroughs. Newell and Simon presented perhaps the most mature work,"
the Logic Theorist,ORG,2,,,"ork, a mathematical theorem-proving system called the Logic Theorist (LT). Simon claimed, “We have invented a computer"
Principia Mathematica,ORG,1,,," theorems in
Chapter 2
of Russell and Whitehead’s
Principia Mathematica."
Principia,ORG,1,,," for one theorem that was shorter than the one in
Principia."
Journal of Symbolic Logic,ORG,1,,,"The editors of the
Journal of Symbolic Logic
were less impressed; they rejected a paper coauth"
Logic Theorist,ORG,1,,,"rejected a paper coauthored by Newell, Simon, and Logic Theorist."
Turing,GPE,1,,,"ee
Chapter 28
for a long list of
X
’s gathered by Turing.) AI researchers naturally responded by demonstra"
"Look, Ma",WORK_OF_ART,1,,,"ts. John McCarthy referred to this period as the “Look, Ma, no hands!” era."
the General Problem Solver,ORG,1,,," and Simon followed up their success with LT with the General Problem Solver, or GPS. Unlike LT, this program was designed fro"
Herbert Gelernter,PERSON,1,,,"olleagues produced some of the first AI programs. Herbert Gelernter (1959) constructed the Geometry Theorem Prover, w"
the Geometry Theorem Prover,ORG,1,,,"AI programs. Herbert Gelernter (1959) constructed the Geometry Theorem Prover, which was able to prove theorems that many stude"
Samuel,PERSON,3,,,"ow call reinforcement learning (see
Chapter 23
), Samuel’s programs learned to play at a strong amateur le"
TD,ORG,1,,,"rogram was the precursor of later systems such as TD-G
AMMON
(Tesauro, 1992), which was among the worl"
Tesauro,PERSON,1,,,"he precursor of later systems such as TD-G
AMMON
(Tesauro, 1992), which was among the world’s best backgamm"
Common Sense,PERSON,1,,," next 30 years. In a paper entitled
Programs with Common Sense,
he advanced a conceptual proposal for AI systems"
the Advice Taker,ORG,1,,,"d on knowledge and reasoning. The paper describes the Advice Taker, a hypothetical program that would embody general"
The Advice Taker,ORG,1,,,"petence in new areas
without being reprogrammed
. The Advice Taker thus embodied the central principles of knowledge"
McCarthy,PERSON,8,,,"nsky moved to MIT. His initial collaboration with McCarthy did not last, however. McCarthy stressed represen"
Stanford,ORG,4,,," outlook. In 1963, McCarthy started the AI lab at Stanford. His plan to use logic to build the ultimate Advi"
Advice Taker,ORG,1,,,ford. His plan to use logic to build the ultimate Advice Taker was advanced by J. A. Robinson’s discovery in 196
J. A. Robinson’s,PERSON,1,,,o build the ultimate Advice Taker was advanced by J. A. Robinson’s discovery in 1965 of the resolution method (a com
Cordell Green’s,ORG,1,,,"logical reasoning. Applications of logic included Cordell Green’s question-answering and planning systems (Green, 1"
the Stanford Research Institute,ORG,1,,,"(Green, 1969b) and the Shakey robotics project at the Stanford Research Institute (SRI). The latter project, discussed further in
C"
James Slagle’s S,PERSON,1,,,"ese limited domains became known as
microworlds
. James Slagle’s S
AINT
program (1963) was able to solve closed-form"
AINT,ORG,1,,,"ns became known as
microworlds
. James Slagle’s S
AINT
program (1963) was able to solve closed-form calc"
Tom Evans’s,PERSON,1,,,"n problems typical of first-year college courses. Tom Evans’s A
NALOGY
program (1968) solved geometric analogy "
NALOGY,ORG,1,,,"ical of first-year college courses. Tom Evans’s A
NALOGY
program (1968) solved geometric analogy problems "
Daniel Bobrow’s,PERSON,1,,,"ometric analogy problems that appear in IQ tests. Daniel Bobrow’s S
TUDENT
program (1967) solved algebra story prob"
Tom,PERSON,2,,,"such as the following:
If the number of customers Tom gets is twice the square of 20 percent of the num"
David Huffman,PERSON,1,,,"he blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation wor"
David Waltz,PERSON,1,,,"1), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1"
Patrick Winston,PERSON,2,,,"ork of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding progra"
Terry Winograd,PERSON,1,,,"0), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
Scott Fahlman,PERSON,1,,,"gram of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
Winograd,GPE,1,,,"igure 1.3
A scene from the blocks world. S
HRDLU
(Winograd, 1972) has just completed the command “Find a blo"
McCulloch,GPE,1,,,"x.”
Early work building on the neural networks of McCulloch and Pitts also flourished. The work of Shmuel Win"
Shmuel Winograd,PERSON,1,,, McCulloch and Pitts also flourished. The work of Shmuel Winograd and Jack Cowan (1963) showed how a large number o
Jack Cowan,PERSON,1,,," also flourished. The work of Shmuel Winograd and Jack Cowan (1963) showed how a large number of elements
coul"
Bernie Widrow,PERSON,1,,,"llelism. Hebb’s learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called"
Widrow,GPE,2,,," learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his net"
Hoff,GPE,1,,,"ethods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his networks
ada"
Frank Rosenblatt,PERSON,1,,," 1962), who called his networks
adalines
, and by Frank Rosenblatt (1962) with his
perceptrons
. The
perceptron conv"
Friedberg,GPE,2,,,"hine evolution
(now called
genetic programming
) (Friedberg, 1958; Friedberg
et al.,
1959) were based on the "
Lighthill,ORG,2,,,"one of the main criticisms of AI contained in the Lighthill report (Lighthill, 1973), which formed the basis "
Papert,PERSON,1,,,"ate intelligent behavior. For example, Minsky and Papert’s book
Perceptrons
(1969) proved that, although p"
multilayer networks,ORG,1,,,"ough their results did not apply to more complex, multilayer networks, research funding for neural-net research soon dw"
Kelley,PERSON,1,,,"n developed in other contexts in the early 1960s (Kelley, 1960; Bryson, 1962)."
Bryson,PERSON,1,,," other contexts in the early 1960s (Kelley, 1960; Bryson, 1962)."
Buchanan,PERSON,2,,,"The D
ENDRAL
program (Buchanan
et al.,
1969) was an early example of this approa"
Bruce Buchanan,PERSON,1,,,"d Feigenbaum (a former student of Herbert Simon), Bruce Buchanan (a philosopher turned computer scientist), and Jo"
Joshua Lederberg,PERSON,1,,,"an (a philosopher turned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve "
Nobel,WORK_OF_ART,1,,,"rned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve the probl"
Feigenbaum,ORG,3,,,"t principles but
in efficient “cookbook recipes” (Feigenbaum
et al.,
1971). The significance of D
ENDRAL
was t"
the Heuristic Programming Project,ORG,1,,," In 1971, Feigenbaum and others at Stanford began the Heuristic Programming Project (HPP) to investigate the extent to which the new "
HPP,ORG,1,,,Stanford began the Heuristic Programming Project (HPP) to investigate the extent to which the new metho
"the M
YCIN",PRODUCT,2,,,"The next major effort was the M
YCIN
system for diagnosing blood infections. With abou"
the Digital Equipment Corporation,ORG,1,,," commercial expert system, R1, began operation at the Digital Equipment Corporation (McDermott, 1982). The program helped configure o"
McDermott,PERSON,2,,,"n operation at the Digital Equipment Corporation (McDermott, 1982). The program helped configure orders for n"
DEC,ORG,1,,,"company an estimated $40 million a year. By 1988, DEC’s AI group had 40 expert systems deployed, with m"
DuPont,ORG,1,,,"40 expert systems deployed, with more on the way. DuPont had 100 in use and 500 in development. Nearly eve"
"Winograd’s S
HRDLU",ORG,1,,,"al language understanding. Despite the success of Winograd’s S
HRDLU
system, its methods did not extend to more genera"
Eugene Charniak,PERSON,1,,,"Several researchers, including Eugene Charniak at MIT and Roger Schank at Yale, suggested that r"
Roger Schank,PERSON,1,,,"researchers, including Eugene Charniak at MIT and Roger Schank at Yale, suggested that robust language understan"
Yale,ORG,1,,,"luding Eugene Charniak at MIT and Roger Schank at Yale, suggested that robust language understanding wou"
Schank,PRODUCT,1,,,"hank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Rie"
Abelson,PERSON,1,,,"s students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981)"
Wilensky,PERSON,1,,,"t a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had th"
Schank,PERSON,1,,,"ograms (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of unde"
Riesbeck,PERSON,1,,,"ank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding nat"
Japan,GPE,2,,," the Prolog language became popular in Europe and Japan, and the P
LANNER
family in the United States. Ot"
the “Fifth Generation,ORG,1,,,"In 1981, the Japanese government announced the “Fifth Generation” project, a 10-year plan to build massively paral"
the Microelectronics and Computer Technology Corporation,ORG,1,,,"ay’s money. In response, the United States formed the Microelectronics and Computer Technology Corporation (MCC), a consortium designed to assure national c"
Alvey,ORG,1,,,"ign and human-interface research. In Britain, the Alvey report reinstated the funding removed by the Ligh"
Parallel Distributed Processing,WORK_OF_ART,1,,,"ad dissemination of the results in the collection
Parallel Distributed Processing
(Rumelhart and McClelland, 1986) caused great exc"
Rumelhart,ORG,1,,,"n the collection
Parallel Distributed Processing
(Rumelhart and McClelland, 1986) caused great excitement."
McClelland,ORG,1,,,"on
Parallel Distributed Processing
(Rumelhart and McClelland, 1986) caused great excitement."
Terrence Deacon,PERSON,1,,,"ns manipulate symbols—in fact, the anthropologist Terrence Deacon’s book
The Symbolic Species
(1997) suggests that "
The Symbolic Species,WORK_OF_ART,1,,,"n fact, the anthropologist Terrence Deacon’s book
The Symbolic Species
(1997) suggests that this is the
defining charact"
Geoff Hinton,PERSON,1,,,"
defining characteristic
of humans. Against this, Geoff Hinton, a leading figure in the resurgence of neural net"
Cohen,PERSON,1,,,"orous theorems or solid experimental methodology (Cohen, 1995) rather than on intuition, and to show rele"
UC,GPE,1,,,"he norm for demonstrating progress, including the UC Irvine repository for machine learning data sets,"
Irvine,PERSON,1,,,"norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the In"
the International Planning Competition,ORG,1,,,"Irvine repository for machine learning data sets, the International Planning Competition
for planning algorithms, the LibriSpeech corpus f"
LibriSpeech,ORG,1,,,"Planning Competition
for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set"
ImageNet,ORG,5,,,"MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQ
U
AD fo"
WMT,ORG,1,,,"U
AD for natural language question answering, the WMT competition for machine translation, and the Inte"
the International SAT Competitions,ORG,1,,," the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
David McAllester,PERSON,1,,,"embraced the positive results of those fields. As David McAllester (1998) put it:
In the early period of AI it seeme"
Judea Pearl’s,PERSON,1,,,"ns research, decision theory, and control theory. Judea Pearl’s (1988)
Probabilistic Reasoning in Intelligent Sys"
Pearl,PERSON,8,,,"eptance of probability and decision theory in AI. Pearl’s development of
Bayesian networks
yielded a rigo"
Rich Sutton’s,PERSON,1,,,A second major contribution in 1988 was Rich Sutton’s work connecting reinforcement learning—which had 
Arthur Samuel’s,PERSON,3,,,ing reinforcement learning—which had been used in Arthur Samuel’s checker-playing program in the 1950s—to the theor
the World Wide Web,EVENT,1,,,e advances in computing power and the creation of the World Wide Web have facilitated the creation of very large data 
Yarowsky,PERSON,1,,," in such data sets are
unlabeled;
for example, in Yarowsky’s (1995) influential work on word-sense disambigu"
Banko,PERSON,1,,,"which sense was intended in a sentence. Moreover, Banko and Brill (2001) argued that the improvement in p"
Brill,ORG,1,,,"e was intended in a sentence. Moreover, Banko and Brill (2001) argued that the improvement in performance"
Efros,PERSON,1,,, damage or by the removal of ex-friends. Hays and Efros (2007) developed a clever method for doing this b
Deng,PERSON,2,,,"s of millions of images in the ImageNet database (Deng
et al
., 2009) sparked a revolution in the field "
Havenstein,PERSON,1,,,"ning helped AI recover commercial attractiveness (Havenstein, 2005; Halevy
et al
., 2009). Big data was a cruc"
Jeopardy,PRODUCT,1,,,"f IBM’s Watson system over human champions in the Jeopardy! quiz game, an event that had a major impact on t"
LeCun,PERSON,1,,,"s in hand-written digit recognition in the 1990s (LeCun
et al.,
1995). It was not until 2011, however, th"
Geoffrey Hinton’s,ORG,1,,,"rkscrew, etc.), a deep learning system created in Geoffrey Hinton’s group at the University of Toronto (Krizhevsky
et"
the University of Toronto,ORG,1,,,"ning system created in Geoffrey Hinton’s group at the University of Toronto (Krizhevsky
et al.,
2013) demonstrated a dramatic"
Krizhevsky,PERSON,1,,,"frey Hinton’s group at the University of Toronto (Krizhevsky
et al.,
2013) demonstrated a dramatic improvement"
FPGA,ORG,1,,,"nning on specialized hardware (e.g., GPU, TPU, or FPGA) might consume between 10
14
and 10
17
operations"
"The State of the Art
1.4",ORG,1,,,"1.4 The State of the Art
1.4 The State of the Art
Stanford University’s One Hu"
AI100,PRODUCT,2,,,ity’s One Hundred Year Study on AI (also known as AI100) convenes panels of experts to provide reports on
Grosz and Stone,WORK_OF_ART,1,,,"art in AI. Their 2016 report (Stone
et al.,
2016; Grosz and Stone, 2018) concludes that “Substantial increases in t"
Ph.D.,WORK_OF_ART,1,,,"ut 80% male, 20% female. Similar numbers hold for Ph.D. students and industry hires."
Singapore,GPE,1,,,"t, U.S. authors are 50% ahead of Chinese authors. Singapore, Brazil, Australia, Canada, and India are the fas"
Brazil,GPE,1,,,"hors are 50% ahead of Chinese authors. Singapore, Brazil, Australia, Canada, and India are the fastest gro"
Australia,GPE,15,,," 50% ahead of Chinese authors. Singapore, Brazil, Australia, Canada, and India are the fastest growing countr"
Canada,GPE,1,,,"of Chinese authors. Singapore, Brazil, Australia, Canada, and India are the fastest growing countries in t"
LSVRC,GPE,1,,," Error rates for object detection (as achieved in LSVRC, the Large-Scale Visual Recognition Challenge) im"
the Large-Scale Visual Recognition Challenge,ORG,1,,,"rates for object detection (as achieved in LSVRC, the Large-Scale Visual Recognition Challenge) improved from 28% in 2010 to 2% in 2017, exceedi"
VQA,ORG,1,,,"Accuracy on open-ended visual question answering (VQA) improved from 55% to 68% since 2015, but lags be"
F1,GPE,1,,,"e: Accuracy on question answering, as measured by F1 score on the Stanford Question Answering Dataset "
the Stanford Question Answering Dataset,ORG,1,,,"on question answering, as measured by F1 score on the Stanford Question Answering Dataset (SQ
U
AD), increased from 60 to 95 from 2015 to 2"
Pac-Man,ORG,1,,,"eded human-level performance in chess, Go, poker, Pac-Man, Jeopardy!, ImageNet object detection, speech rec"
StarCraft II,EVENT,1,,,"lation in a restricted domain, Quake III, Dota 2, StarCraft II, various Atari games, skin cancer detection, pros"
Atari,ORG,1,,," domain, Quake III, Dota 2, StarCraft II, various Atari games, skin cancer detection, prostate cancer det"
Ford,ORG,3,,,evel performance across a broad variety of tasks? Ford (2018) interviews AI experts and finds a wide ran
Grace,PERSON,1,,,"o 2200, with a mean of 2099. In a similar survey (Grace
et al.,
2017) 50% of respondents thought this cou"
Philip Tetlock,ORG,1,,,ut don’t take their predictions too seriously; as Philip Tetlock (2017) demonstrates in the area of predicting wor
Zapp,ORG,1,,," in the 1980s (Kanade
et al.,
1986; Dickmanns and Zapp, 1987). After successful demonstrations of drivin"
DARPA Grand Challenge,ORG,1,,,"trations of driving on dirt roads in the 132-mile DARPA Grand Challenge in 2005 (Thrun, 2006) and on streets with traffic"
Thrun,GPE,1,,,"ds in the 132-mile DARPA Grand Challenge in 2005 (Thrun, 2006) and on streets with traffic in the 2007 Ur"
Urban Challenge,ORG,1,,,"un, 2006) and on streets with traffic in the 2007 Urban Challenge, the race to develop self-driving cars began in e"
Waymo,WORK_OF_ART,1,,,"elop self-driving cars began in earnest. In 2018, Waymo test vehicles passed the landmark of 10 million m"
Rwanda,GPE,1,,, been providing cross-country blood deliveries in Rwanda since 2016. Quadcopters perform remarkable aeroba
BigDog,PRODUCT,1,,,"Legged locomotion
: BigDog, a quadruped robot by Raibert
et al."
Raibert,PERSON,1,,,"Legged locomotion
: BigDog, a quadruped robot by Raibert
et al."
al,PERSON,34,,,"omotion
: BigDog, a quadruped robot by Raibert
et al."
Hollywood,GPE,1,,,"nger the slow, stiff-legged, side-to-side gait of Hollywood movie robots, but something closely resembling an"
Atlas,PERSON,1,,,"er when shoved or when slipping on an icy puddle. Atlas, a humanoid robot, not only walks on uneven terra"
Ackerman,PERSON,1,,," terrain but jumps onto boxes and does backflips (Ackerman and Guizzo, 2016)."
Guizzo,PERSON,1,,,"jumps onto boxes and does backflips (Ackerman and Guizzo, 2016)."
NASA,ORG,2,,," scheduling
: A hundred million miles from Earth, NASA’s Remote Agent program became the first on-board "
Jonsson,PERSON,1,,,"ol the scheduling of operations for a spacecraft (Jonsson
et al.,
2000). Remote Agent generated plans from "
Barreiro,PERSON,1,,,"ey occurred. Today, the E
UROPA
planning toolkit (Barreiro
et al.,
2012) is used for daily operations of NAS"
Winternitz,ORG,1,,,"ns of NASA’s Mars rovers and the S
EXTANT
system (Winternitz, 2017) allows autonomous navigation in deep space"
Walker,ORG,1,,,"ic Analysis and Replanning Tool, D
ART
(Cross and Walker, 1994), to do automated logistics planning and sc"
The Defense Advanced Research Project Agency,ORG,1,,,"es, and conflict resolution among all parameters. The Defense Advanced Research Project Agency (DARPA) stated that this single application more "
DARPA,ORG,2,,,rs. The Defense Advanced Research Project Agency (DARPA) stated that this single application more than pa
Google Maps,ORG,1,,,mpanies such as Uber and mapping services such as Google Maps provide driving directions for hundreds of millio
Wu,PERSON,1,,," narrow domain are close to the level of a human (Wu
et al."
Microsoft,ORG,2,,,"Speech recognition
: In 2017, Microsoft showed that its Conversational Speech Recognition"
Conversational Speech Recognition System,ORG,1,,," recognition
: In 2017, Microsoft showed that its Conversational Speech Recognition System had reached a word error rate of 5.1%, matching h"
Switchboard,PRODUCT,1,,,"r rate of 5.1%, matching human performance on the Switchboard task, which involves transcribing telephone conve"
Xiong,GPE,1,,,"ch involves transcribing telephone conversations (Xiong
et al.,
2017). About a third of computer interact"
Skype,ORG,1,,,ldwide is now done by voice rather than keyboard; Skype provides real-time speech-to-speech translation i
Alexa,ORG,1,,,"me speech-to-speech translation in ten languages. Alexa, Siri, Cortana, and Google offer assistants that "
Siri,GPE,1,,,"ch-to-speech translation in ten languages. Alexa, Siri, Cortana, and Google offer assistants that can an"
Cortana,ORG,1,,,"speech translation in ten languages. Alexa, Siri, Cortana, and Google offer assistants that can answer ques"
Google,ORG,1,,,"ation in ten languages. Alexa, Siri, Cortana, and Google offer assistants that can answer questions and ca"
Google Duplex,ORG,1,,,and carry out tasks for the user; for example the Google Duplex service uses speech recognition and speech synthe
Amazon,ORG,1,,,"Recommendations
: Companies such as Amazon, Facebook, Netflix, Spotify, YouTube, Walmart, an"
Netflix,GPE,1,,,"mmendations
: Companies such as Amazon, Facebook, Netflix, Spotify, YouTube, Walmart, and others use machin"
Spotify,GPE,1,,,"ns
: Companies such as Amazon, Facebook, Netflix, Spotify, YouTube, Walmart, and others use machine learnin"
YouTube,ORG,2,,,"anies such as Amazon, Facebook, Netflix, Spotify, YouTube, Walmart, and others use machine learning to reco"
Walmart,ORG,1,,,"h as Amazon, Facebook, Netflix, Spotify, YouTube, Walmart, and others use machine learning to recommend wha"
Resnick,GPE,1,,," field of recommender systems has a long history (Resnick and Varian, 1997) but is changing rapidly due to "
metadata,PERSON,1,,,"ntent (text, music, video) as well as history and metadata (van den Oord
et al."
van den Oord,PERSON,1,,,"t, music, video) as well as history and metadata (van den Oord
et al."
"Zhang
et",PERSON,1,,,", 2014; Zhang
et al.,
2017). Spam filtering can also be considered"
Deep Blue,PERSON,1,,,"Game playing
: When Deep Blue defeated world chess champion Garry Kasparov in 1"
Garry Kasparov,PERSON,1,,,"ng
: When Deep Blue defeated world chess champion Garry Kasparov in 1997, defenders of human supremacy placed thei"
Piet Hut,PERSON,1,,,"ders of human supremacy placed their hopes on Go. Piet Hut, an astrophysicist and Go enthusiast, predicted t"
Ke Jie,PERSON,1,,,"urpassed all human players (Silver
et al.,
2017). Ke Jie, the world champion, said, “Last year, it was sti"
ERO,ORG,1,,,"A followup program, A
LPHA
Z
ERO
, used no input from humans (except for the rules"
Jeopardy,ORG,1,,," been beaten by AI systems at games as diverse as Jeopardy! (Ferrucci
et al.,
2010), poker (Bowling
et al.,
"
Ferrucci,PERSON,1,,,"n by AI systems at games as diverse as Jeopardy! (Ferrucci
et al.,
2010), poker (Bowling
et al.,
2015; Morav"
Moravčík,GPE,1,,,"rucci
et al.,
2010), poker (Bowling
et al.,
2015; Moravčík
et al.,
2017; Brown and Sandholm, 2019), and the "
Brown,PERSON,2,,,"ker (Bowling
et al.,
2015; Moravčík
et al.,
2017; Brown and Sandholm, 2019), and the video games Dota 2 ("
Sandholm,GPE,1,,,"ng
et al.,
2015; Moravčík
et al.,
2017; Brown and Sandholm, 2019), and the video games Dota 2 (Fernandez and"
Dota 2,ORG,1,,,"7; Brown and Sandholm, 2019), and the video games Dota 2 (Fernandez and Mahlmann, 2018), StarCraft II (Vin"
Fernandez,ORG,1,,," and Sandholm, 2019), and the video games Dota 2 (Fernandez and Mahlmann, 2018), StarCraft II (Vinyals
et al."
Mahlmann,ORG,1,,," 2019), and the video games Dota 2 (Fernandez and Mahlmann, 2018), StarCraft II (Vinyals
et al.,
2019), and "
StarCraft II,ORG,1,,,"ideo games Dota 2 (Fernandez and Mahlmann, 2018), StarCraft II (Vinyals
et al.,
2019), and Quake III (Jaderberg
"
Jaderberg,PERSON,1,,,"arCraft II (Vinyals
et al.,
2019), and Quake III (Jaderberg
et al.,
2019)."
Ding,PERSON,1,,," on images. Examples include Alzheimer’s disease (Ding
et al.,
2018), metastatic cancer (Liu
et al.,
201"
Liu,PERSON,4,,,"s disease (Ding
et al.,
2018), metastatic cancer (Liu
et al.,
2017; Esteva
et al.,
2017), ophthalmic di"
Esteva,PERSON,1,,," al.,
2018), metastatic cancer (Liu
et al.,
2017; Esteva
et al.,
2017), ophthalmic disease (Gulshan
et al."
Gulshan,GPE,1,,,",
2017; Esteva
et al.,
2017), ophthalmic disease (Gulshan
et al.,
2016), and skin diseases (Liu
et al.,
201"
"the L
YNA",ORG,1,,,"litating human–machine partnerships. For example, the L
YNA
system achieves 99.6% overall accuracy in diagnos"
Steiner,PERSON,1,,,", 2018; Steiner
et al.,
2018)."
Topol,ORG,1,,,"ure transparency, lack of bias, and data privacy (Topol, 2019). In 2017, only two medical AI applications"
FDA,ORG,1,,," two medical AI applications were approved by the FDA, but that increased to 12 in 2018, and continues "
Gordon Bell Prize,PERSON,1,,,"imate science
: A team of scientists won the 2018 Gordon Bell Prize for a deep learning model that discovers detailed"
Kurth,PERSON,1,,,"nd), the first machine learning program to do so (Kurth
et al."
"Rolnick
et",PERSON,1,,,", 2018). Rolnick
et al."
Risks and Benefits of AI,ORG,1,,,"1.5 Risks and Benefits of AI
1.5 Risks and Benefits of AI
Francis Bacon, a phi"
Francis Bacon,PERSON,1,,,"s and Benefits of AI
1.5 Risks and Benefits of AI
Francis Bacon, a philosopher credited with creating the scienti"
The Wisdom of the Ancients,WORK_OF_ART,1,,,"ted with creating the scientific method, noted in
The Wisdom of the Ancients
(1609) that the “mechanical arts are of ambiguous"
Demis Hassabis,PERSON,1,,,"ons for climate change and resource shortages. As Demis Hassabis, CEO of Google DeepMind, has suggested: “First so"
Google DeepMind,ORG,1,,,"and resource shortages. As Demis Hassabis, CEO of Google DeepMind, has suggested: “First solve AI, then use AI to s"
the United Nations,ORG,1,,,"•
Lethal autonomous weapons:
These are defined by the United Nations as weapons that can locate, select, and eliminate"
UN,ORG,1,,,"l risks of lethal autonomous weapons began at the UN in 2014, moving to the formal pre-treaty stage of"
Group of Governmental Experts,ORG,1,,," 2014, moving to the formal pre-treaty stage of a Group of Governmental Experts in 2017."
Nils Nilsson,PERSON,3,,,"elds would contribute to the broader goals of AI. Nils Nilsson (1995), one of the original leaders of the Shakey"
Shakey,ORG,1,,,"ilsson (1995), one of the original leaders of the Shakey project at SRI, reminded the field of those broad"
Winston,GPE,1,,,"rvin Minsky (2007), and Patrick Winston (Beal and Winston, 2009), concurred with Nilsson’s warnings, sugges"
Nilsson’s,ORG,1,,," Winston (Beal and Winston, 2009), concurred with Nilsson’s warnings, suggesting that instead of focusing on "
Herb Simon’s,PERSON,1,,,"AI should return to its roots of striving for, in Herb Simon’s words, “machines that think, that learn and that "
HLAI,ORG,1,,,"create.” They called the effort
human-level AI
or HLAI—a machine should be able to learn to do anything "
Journal of Artificial General Intelligence,ORG,1,,,"007), held its first conference and organized the
Journal of Artificial General Intelligence
in 2008."
Yudkowsky,PERSON,1,,," far surpasses human ability—might be a bad idea (Yudkowsky, 2008; Omohundro, 2008). Turing (1996) himself ma"
Omohundro,GPE,1,,,"man ability—might be a bad idea (Yudkowsky, 2008; Omohundro, 2008). Turing (1996) himself made the same point"
Manchester,GPE,1,,,"himself made the same point in a lecture given in Manchester in 1951, drawing on earlier ideas from Samuel But"
Samuel Butler,PERSON,1,,,"Manchester in 1951, drawing on earlier ideas from Samuel Butler (1863):
15
It seems probable that once the machin"
"Samuel Butler’s
Erewhon",PERSON,1,,," to take control, in the way that is mentioned in Samuel Butler’s
Erewhon."
Nick Bostrom,PERSON,1,,,"publication of books such as
Superintelligence
by Nick Bostrom (2014), and public pronouncements from Stephen Ha"
Stephen Hawking,PERSON,1,,,"ck Bostrom (2014), and public pronouncements from Stephen Hawking, Bill Gates, Martin Rees, and Elon Musk."
Bill Gates,PERSON,1,,,", and public pronouncements from Stephen Hawking, Bill Gates, Martin Rees, and Elon Musk."
Martin Rees,PERSON,1,,," pronouncements from Stephen Hawking, Bill Gates, Martin Rees, and Elon Musk."
Elon Musk,PERSON,1,,,"rom Stephen Hawking, Bill Gates, Martin Rees, and Elon Musk."
King Midas,GPE,2,,,", is to undo the first two. We will call this the
King Midas problem
: Midas, a legendary King in Greek mythol"
Midas,PERSON,2,,,"t two. We will call this the
King Midas problem
: Midas, a legendary King in Greek mythology, asked that "
King,PERSON,1,,," this the
King Midas problem
: Midas, a legendary King in Greek mythology, asked that everything he touc"
"•
Philosophers",ORG,1,,,"•
Philosophers (going back to 400
BCE
) made AI conceivable by s"
