实体原文,实体类型,出现次数,建议译法（人工填写）,校验结果（通过/修改）,上下文
Nicolas Rashevsky,PERSON,1,,,"Inspired by the mathematical modeling work of Pitts’s advisor Nicolas Rashevsky (1936, 1938), they drew on three sources: knowledge of the basic physiology and function of neurons in the brain; a formal analysis of propositional logic due to Russell and Whitehead; and Turing’s theory of computation."
Whitehead,ORG,2,,,"Inspired by the mathematical modeling work of Pitts’s advisor Nicolas Rashevsky (1936, 1938), they drew on three sources: knowledge of the basic physiology and function of neurons in the brain; a formal analysis of propositional logic due to Russell and Whitehead; and Turing’s theory of computation."
Pitts,GPE,2,,,McCulloch and Pitts also suggested that suitably defined networks could learn.
Donald Hebb,PERSON,1,,,Donald Hebb (1949) demonstrated a simple updating rule for modifying the connection strengths between neurons.
Harvard,ORG,1,,,"Two undergraduate students at Harvard, Marvin Minsky (1927–2016) and Dean Edmonds, built the first neural network computer in 1950."
Dean Edmonds,PERSON,1,,,"Two undergraduate students at Harvard, Marvin Minsky (1927–2016) and Dean Edmonds, built the first neural network computer in 1950."
B-24,PRODUCT,1,,,"The SNARC, as it was called, used 3000 vacuum tubes and a surplus automatic pilot mechanism from a B-24 bomber to simulate a network of 40 neurons."
Princeton,GPE,2,,,"Later, at Princeton, Minsky studied universal computation in neural networks."
Minsky,PERSON,4,,,"Later, at Princeton, Minsky studied universal computation in neural networks."
von Neumann,PERSON,1,,,"D. committee was skeptical about whether this kind of work should be considered mathematics, but von Neumann reportedly said, “If it isn’t now, it will be someday."
Christopher Strachey,PERSON,1,,,"” There were a number of other examples of early work that can be characterized as AI, including two checkers-playing programs developed independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Samuel at IBM."
the University of Manchester,ORG,1,,,"” There were a number of other examples of early work that can be characterized as AI, including two checkers-playing programs developed independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Samuel at IBM."
Arthur Samuel,PERSON,3,,,"” There were a number of other examples of early work that can be characterized as AI, including two checkers-playing programs developed independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Samuel at IBM."
IBM,ORG,5,,,"” There were a number of other examples of early work that can be characterized as AI, including two checkers-playing programs developed independently in 1952 by Christopher Strachey at the University of Manchester and by Arthur Samuel at IBM."
the London Mathematical Society,ORG,1,,,He gave lectures on the topic as early as 1947 at the London Mathematical Society and articulated a persuasive agenda in his 1950 article “Computing Machinery and Intelligence.
Computing Machinery and Intelligence,WORK_OF_ART,1,,,He gave lectures on the topic as early as 1947 at the London Mathematical Society and articulated a persuasive agenda in his 1950 article “Computing Machinery and Intelligence.
Dartmouth College,ORG,2,,,"In 1955, John McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring together U. S. researchers interested in automata theory, neural nets, and the study of intelligence."
Claude Shannon,PERSON,1,,,"In 1955, John McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring together U. S. researchers interested in automata theory, neural nets, and the study of intelligence."
Nathaniel Rochester,PERSON,2,,,"In 1955, John McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring together U. S. researchers interested in automata theory, neural nets, and the study of intelligence."
U. S.,GPE,2,,,"In 1955, John McCarthy of Dartmouth College convinced Minsky, Claude Shannon, and Nathaniel Rochester to help him bring together U. S. researchers interested in automata theory, neural nets, and the study of intelligence."
Dartmouth,ORG,3,,,They organized a two-month workshop at Dartmouth in the summer of 1956.
Carnegie Tech,ORG,1,,,"There were 10 attendees in all, including Allen Newell and Herbert Simon from Carnegie Tech, 11 Trenchard More from Princeton, Arthur Samuel from IBM, and Ray Solomonoff and Oliver Selfridge from MIT."
Ray Solomonoff,PERSON,1,,,"There were 10 attendees in all, including Allen Newell and Herbert Simon from Carnegie Tech, 11 Trenchard More from Princeton, Arthur Samuel from IBM, and Ray Solomonoff and Oliver Selfridge from MIT."
Oliver Selfridge,PERSON,1,,,"There were 10 attendees in all, including Allen Newell and Herbert Simon from Carnegie Tech, 11 Trenchard More from Princeton, Arthur Samuel from IBM, and Ray Solomonoff and Oliver Selfridge from MIT."
Hanover,GPE,1,,,"The proposal states: 12 We propose that a 2 month, 10 man study of artificial intelligence be carried out during the summer of 1956 at Dartmouth College in Hanover, New Hampshire."
New Hampshire,GPE,1,,,"The proposal states: 12 We propose that a 2 month, 10 man study of artificial intelligence be carried out during the summer of 1956 at Dartmouth College in Hanover, New Hampshire."
Newell,PERSON,4,,,"Newell and Simon presented perhaps the most mature work, a mathematical theorem-proving system called the Logic Theorist (LT)."
the Logic Theorist,ORG,2,,,"Newell and Simon presented perhaps the most mature work, a mathematical theorem-proving system called the Logic Theorist (LT)."
Principia,GPE,1,,,Russell was reportedly delighted when told that LT had come up with a proof for one theorem that was shorter than the one in Principia.
the Journal of Symbolic Logic,ORG,1,,,"The editors of the Journal of Symbolic Logic were less impressed; they rejected a paper coauthored by Newell, Simon, and Logic Theorist."
Logic Theorist,ORG,1,,,"The editors of the Journal of Symbolic Logic were less impressed; they rejected a paper coauthored by Newell, Simon, and Logic Theorist."
X.,ORG,1,,,"2Early enthusiasm, great expectations (1952–1969) The intellectual establishment of the 1950s, by and large, preferred to believe that “a machine can never do X."
Turing,GPE,1,,,” (See Chapter 28 for a long list of X’s gathered by Turing. )
"Look, Ma",WORK_OF_ART,1,,,"John McCarthy referred to this period as the “Look, Ma, no hands!"
the General Problem Solver,ORG,1,,,"Newell and Simon followed up their success with LT with the General Problem Solver, or GPS."
Herbert Gelernter,PERSON,1,,,"Herbert Gelernter (1959) constructed the Geometry Theorem Prover, which was able to prove theorems that many students of mathematics would find quite tricky."
the Geometry Theorem Prover,ORG,1,,,"Herbert Gelernter (1959) constructed the Geometry Theorem Prover, which was able to prove theorems that many students of mathematics would find quite tricky."
Samuel,PERSON,3,,,"Using methods that we now call reinforcement learning (see Chapter 23), Samuel’s programs learned to play at a strong amateur level."
TD-GAMMON,ORG,1,,,"Samuel’s program was the precursor of later systems such as TD-GAMMON (Tesauro, 1992), which was among the world’s best backgammon players, and ALPHAGO (Silver et al."
Tesauro,PERSON,1,,,"Samuel’s program was the precursor of later systems such as TD-GAMMON (Tesauro, 1992), which was among the world’s best backgammon players, and ALPHAGO (Silver et al."
ALPHAGO,ORG,4,,,"Samuel’s program was the precursor of later systems such as TD-GAMMON (Tesauro, 1992), which was among the world’s best backgammon players, and ALPHAGO (Silver et al."
Programs,PERSON,1,,,"In a paper entitled Programs with Common Sense, he advanced a conceptual proposal for AI systems based on knowledge and reasoning."
Common Sense,PERSON,1,,,"In a paper entitled Programs with Common Sense, he advanced a conceptual proposal for AI systems based on knowledge and reasoning."
the Advice Taker,ORG,1,,,"The paper describes the Advice Taker, a hypothetical program that would embody general knowledge of the world and could use it to derive plans of action."
The Advice Taker,ORG,1,,,"The Advice Taker thus embodied the central principles of knowledge representation and reasoning: that it is useful to have a formal, explicit representation of the world and its workings and to be able to manipulate that representation with deductive processes."
McCarthy,PERSON,8,,,"His initial collaboration with McCarthy did not last, however."
Stanford,ORG,4,,,"In 1963, McCarthy started the AI lab at Stanford."
Advice Taker,ORG,1,,,His plan to use logic to build the ultimate Advice Taker was advanced by J.
J. A. Robinson’s,PERSON,1,,,His plan to use logic to build the ultimate Advice Taker was advanced by J.
Cordell Green’s,ORG,1,,,"Applications of logic included Cordell Green’s question-answering and planning systems (Green, 1969b) and the Shakey robotics project at the Stanford Research Institute (SRI)."
the Stanford Research Institute,ORG,1,,,"Applications of logic included Cordell Green’s question-answering and planning systems (Green, 1969b) and the Shakey robotics project at the Stanford Research Institute (SRI)."
James Slagle’s SAINT,PERSON,1,,,James Slagle’s SAINT program (1963) was able to solve closed-form calculus integration problems typical of first-year college courses.
Tom Evans’s,PERSON,1,,,Tom Evans’s ANALOGY program (1968) solved geometric analogy problems that appear in IQ tests.
Daniel Bobrow’s,PERSON,1,,,"Daniel Bobrow’s STUDENT program (1967) solved algebra story problems, such as the following: If the number of customers Tom gets is twice the square of 20 percent of the number of advertisements he runs, and the number of advertisements he runs is 45, what is the number of customers Tom gets?"
Tom,PERSON,2,,,"Daniel Bobrow’s STUDENT program (1967) solved algebra story problems, such as the following: If the number of customers Tom gets is twice the square of 20 percent of the number of advertisements he runs, and the number of advertisements he runs is 45, what is the number of customers Tom gets?"
David Huffman,PERSON,1,,,"The blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
David Waltz,PERSON,1,,,"The blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
Patrick Winston,PERSON,2,,,"The blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
Terry Winograd,PERSON,1,,,"The blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
Scott Fahlman,PERSON,1,,,"The blocks world was home to the vision project of David Huffman (1971), the vision and constraint-propagation work of David Waltz (1975), the learning theory of Patrick Winston (1970), the natural-language-understanding program of Terry Winograd (1972), and the planner of Scott Fahlman (1974)."
SHRDLU,ORG,2,,,"SHRDLU (Winograd, 1972) has just completed the command “Find a block which is taller than the one you are holding and put it in the box."
Winograd,GPE,2,,,"SHRDLU (Winograd, 1972) has just completed the command “Find a block which is taller than the one you are holding and put it in the box."
McCulloch,GPE,1,,,” Early work building on the neural networks of McCulloch and Pitts also flourished.
Shmuel Winograd,PERSON,1,,,"The work of Shmuel Winograd and Jack Cowan (1963) showed how a large number of elements could collectively represent an individual concept, with a corresponding increase in robustness and parallelism."
Jack Cowan,PERSON,1,,,"The work of Shmuel Winograd and Jack Cowan (1963) showed how a large number of elements could collectively represent an individual concept, with a corresponding increase in robustness and parallelism."
Bernie Widrow,PERSON,1,,,"Hebb’s learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his networks adalines, and by Frank Rosenblatt (1962) with his perceptrons."
Widrow,GPE,2,,,"Hebb’s learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his networks adalines, and by Frank Rosenblatt (1962) with his perceptrons."
Hoff,GPE,1,,,"Hebb’s learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his networks adalines, and by Frank Rosenblatt (1962) with his perceptrons."
Frank Rosenblatt,PERSON,1,,,"Hebb’s learning methods were enhanced by Bernie Widrow (Widrow and Hoff, 1960; Widrow, 1962), who called his networks adalines, and by Frank Rosenblatt (1962) with his perceptrons."
Friedberg,GPE,2,,,"Early experiments in machine evolution (now called genetic programming) (Friedberg, 1958; Friedberg et al."
Lighthill,ORG,2,,,"Failure to come to grips with the “combinatorial explosion” was one of the main criticisms of AI contained in the Lighthill report (Lighthill, 1973), which formed the basis for the decision by the British government to end support for AI research in all but two universities."
Papert,PERSON,1,,,"For example, Minsky and Papert’s book Perceptrons (1969) proved that, although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing, they could represent very little."
Perceptrons,WORK_OF_ART,1,,,"For example, Minsky and Papert’s book Perceptrons (1969) proved that, although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing, they could represent very little."
multilayer networks,ORG,1,,,"Although their results did not apply to more complex, multilayer networks, research funding for neural-net research soon dwindled to almost nothing."
Kelley,PERSON,1,,,"Ironically, the new back-propagation learning algorithms that were to cause an enormous resurgence in neural-net research in the late 1980s and again in the 2010s had already been developed in other contexts in the early 1960s (Kelley, 1960; Bryson, 1962)."
Bryson,PERSON,1,,,"Ironically, the new back-propagation learning algorithms that were to cause an enormous resurgence in neural-net research in the late 1980s and again in the 2010s had already been developed in other contexts in the early 1960s (Kelley, 1960; Bryson, 1962)."
DENDRAL,ORG,6,,,The DENDRAL program (Buchanan et al.
Buchanan,PERSON,2,,,The DENDRAL program (Buchanan et al.
Bruce Buchanan,PERSON,1,,,"It was developed at Stanford, where Ed Feigenbaum (a former student of Herbert Simon), Bruce Buchanan (a philosopher turned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve the problem of inferring molecular structure from the information provided by a mass spectrometer."
Joshua Lederberg,PERSON,1,,,"It was developed at Stanford, where Ed Feigenbaum (a former student of Herbert Simon), Bruce Buchanan (a philosopher turned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve the problem of inferring molecular structure from the information provided by a mass spectrometer."
Nobel,WORK_OF_ART,1,,,"It was developed at Stanford, where Ed Feigenbaum (a former student of Herbert Simon), Bruce Buchanan (a philosopher turned computer scientist), and Joshua Lederberg (a Nobel laureate geneticist) teamed up to solve the problem of inferring molecular structure from the information provided by a mass spectrometer."
Feigenbaum,ORG,3,,,"According to its authors, DENDRAL was powerful because it embodied the relevant knowledge of mass spectroscopy not in the form of first principles but in efficient “cookbook recipes” (Feigenbaum et al."
the Heuristic Programming Project,ORG,1,,,"In 1971, Feigenbaum and others at Stanford began the Heuristic Programming Project (HPP) to investigate the extent to which the new methodology of expert systems could be applied to other areas."
HPP,ORG,1,,,"In 1971, Feigenbaum and others at Stanford began the Heuristic Programming Project (HPP) to investigate the extent to which the new methodology of expert systems could be applied to other areas."
MYCIN,ORG,4,,,The next major effort was the MYCIN system for diagnosing blood infections.
the Digital Equipment Corporation,ORG,1,,,"The first successful commercial expert system, R1, began operation at the Digital Equipment Corporation (McDermott, 1982)."
McDermott,PERSON,2,,,"The first successful commercial expert system, R1, began operation at the Digital Equipment Corporation (McDermott, 1982)."
DEC,ORG,1,,,"By 1988, DEC’s AI group had 40 expert systems deployed, with more on the way."
DuPont,ORG,1,,,DuPont had 100 in use and 500 in development.
U. S.,PERSON,2,,,Nearly every major U. S. corporation had its own AI group and was either using or investigating expert systems.
Eugene Charniak,PERSON,1,,,"Several researchers, including Eugene Charniak at MIT and Roger Schank at Yale, suggested that robust language understanding would require general knowledge about the world and a general method for using that knowledge."
Roger Schank,PERSON,1,,,"Several researchers, including Eugene Charniak at MIT and Roger Schank at Yale, suggested that robust language understanding would require general knowledge about the world and a general method for using that knowledge."
Yale,ORG,1,,,"Several researchers, including Eugene Charniak at MIT and Roger Schank at Yale, suggested that robust language understanding would require general knowledge about the world and a general method for using that knowledge."
Schank,PRODUCT,1,,,"Schank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding natural language."
Abelson,PERSON,1,,,"Schank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding natural language."
Wilensky,PERSON,1,,,"Schank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding natural language."
Schank,PERSON,1,,,"Schank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding natural language."
Riesbeck,PERSON,1,,,"Schank and his students built a series of programs (Schank and Abelson, 1977; Wilensky, 1978; Schank and Riesbeck, 1981) that all had the task of understanding natural language."
Japan,GPE,2,,,"Some were based on logic—for example, the Prolog language became popular in Europe and Japan, and the PLANNER family in the United States."
the “Fifth Generation,ORG,1,,,"In 1981, the Japanese government announced the “Fifth Generation” project, a 10-year plan to build massively parallel, intelligent computers running Prolog."
the Microelectronics and Computer Technology Corporation,ORG,1,,,"In response, the United States formed the Microelectronics and Computer Technology Corporation (MCC), a consortium designed to assure national competitiveness."
Alvey,ORG,1,,,"In Britain, the Alvey report reinstated the funding removed by the Lighthill report."
Parallel Distributed Processing (Rumelhart,ORG,1,,,"The algorithm was applied to many learning problems in computer science and psychology, and the widespread dissemination of the results in the collection Parallel Distributed Processing (Rumelhart and McClelland, 1986) caused great excitement."
McClelland,ORG,1,,,"The algorithm was applied to many learning problems in computer science and psychology, and the widespread dissemination of the results in the collection Parallel Distributed Processing (Rumelhart and McClelland, 1986) caused great excitement."
Terrence Deacon,PERSON,1,,,"It might seem obvious that at some level humans manipulate symbols—in fact, the anthropologist Terrence Deacon’s book The Symbolic Species (1997) suggests that this is the defining characteristic of humans."
The Symbolic Species,ORG,1,,,"It might seem obvious that at some level humans manipulate symbols—in fact, the anthropologist Terrence Deacon’s book The Symbolic Species (1997) suggests that this is the defining characteristic of humans."
Geoff Hinton,PERSON,1,,,"Against this, Geoff Hinton, a leading figure in the resurgence of neural networks in the 1980s and 2010s, has described symbols as the “luminiferous aether of AI”—a reference to the non-existent medium through which many 19th-century physicists believed that electromagnetic waves propagated."
Cohen,PERSON,1,,,"14 It became more common to build on existing theories than to propose brand-new ones, to base claims on rigorous theorems or solid experimental methodology (Cohen, 1995) rather than on intuition, and to show relevance to real-world applications rather than toy examples."
UC,GPE,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
Irvine,PERSON,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
the International Planning Competition,ORG,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
LibriSpeech,ORG,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
ImageNet,ORG,5,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
SQUAD,ORG,2,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
WMT,ORG,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
the International SAT Competitions,ORG,1,,,"Shared benchmark problem sets became the norm for demonstrating progress, including the UC Irvine repository for machine learning data sets, the International Planning Competition for planning algorithms, the LibriSpeech corpus for speech recognition, the MNIST data set for handwritten digit recognition, ImageNet and COCO for image object recognition, SQUAD for natural language question answering, the WMT competition for machine translation, and the International SAT Competitions for Boolean satisfiability solvers."
David McAllester,PERSON,1,,,"As David McAllester (1998) put it: In the early period of AI it seemed plausible that new forms of symbolic computation, e. g. , frames and semantic networks, made much of classical theory obsolete."
Judea Pearl’s,PERSON,1,,,Judea Pearl’s (1988) Probabilistic Reasoning in Intelligent Systems led to a new acceptance of probability and decision theory in AI.
Pearl,PERSON,8,,,Pearl’s development of Bayesian networks yielded a rigorous and efficient formalism for representing uncertain knowledge as well as practical algorithms for probabilistic reasoning.
Rich Sutton’s,PERSON,1,,,A second major contribution in 1988 was Rich Sutton’s work connecting reinforcement learning—which had been used in Arthur Samuel’s checker-playing program in the 1950s—to the theory of Markov decision processes (MDPs) developed in the field of operations research.
Arthur Samuel’s,PERSON,3,,,A second major contribution in 1988 was Rich Sutton’s work connecting reinforcement learning—which had been used in Arthur Samuel’s checker-playing program in the 1950s—to the theory of Markov decision processes (MDPs) developed in the field of operations research.
the World Wide Web,EVENT,1,,,7Big data (2001–present) Remarkable advances in computing power and the creation of the World Wide Web have facilitated the creation of very large data sets—a phenomenon sometimes known as big data.
Yarowsky,PERSON,1,,,"Often, the vast majority of examples in such data sets are unlabeled; for example, in Yarowsky’s (1995) influential work on word-sense disambiguation, occurrences of a word such as “plant” are not labeled in the data set to indicate whether they refer to flora or factory."
Banko,PERSON,1,,,"Moreover, Banko and Brill (2001) argued that the improvement in performance obtained from increasing the size of the data set by two or three orders of magnitude outweighs any improvement that can be obtained from tweaking the algorithm."
Brill,ORG,1,,,"Moreover, Banko and Brill (2001) argued that the improvement in performance obtained from increasing the size of the data set by two or three orders of magnitude outweighs any improvement that can be obtained from tweaking the algorithm."
Efros,PERSON,1,,,Hays and Efros (2007) developed a clever method for doing this by blending in pixels from similar images; they found that the technique worked poorly with a database of only thousands of images but crossed a threshold of quality with millions of images.
Deng et al.,PERSON,1,,,"Soon after, the availability of tens of millions of images in the ImageNet database (Deng et al."
Havenstein,PERSON,1,,,"The availability of big data and the shift towards machine learning helped AI recover commercial attractiveness (Havenstein, 2005; Halevy et al."
Halevy,PERSON,1,,,"The availability of big data and the shift towards machine learning helped AI recover commercial attractiveness (Havenstein, 2005; Halevy et al."
al.,GPE,10,,,"The availability of big data and the shift towards machine learning helped AI recover commercial attractiveness (Havenstein, 2005; Halevy et al."
Jeopardy,PRODUCT,1,,,Big data was a crucial factor in the 2011 victory of IBM’s Watson system over human champions in the Jeopardy!
LeCun et al.,PERSON,1,,,"Experiments were carried out with such networks as far back as the 1970s, and in the form of convolutional neural networks they found some success in hand-written digit recognition in the 1990s (LeCun et al."
Geoffrey Hinton’s,ORG,1,,,"), a deep learning system created in Geoffrey Hinton’s group at the University of Toronto (Krizhevsky et al."
the University of Toronto,ORG,1,,,"), a deep learning system created in Geoffrey Hinton’s group at the University of Toronto (Krizhevsky et al."
Krizhevsky et al.,PERSON,1,,,"), a deep learning system created in Geoffrey Hinton’s group at the University of Toronto (Krizhevsky et al."
FPGA,ORG,1,,,"a deep learning algorithm running on specialized hardware (e. g. , GPU, TPU, or FPGA) might consume between 1014 and 1017 operations per second, mostly in the form of highly parallelized matrix and vector operations."
The State of the Art Stanford University’s,ORG,1,,,4 The State of the Art Stanford University’s One Hundred Year Study on AI (also known as AI100) convenes panels of experts to provide reports on the state of the art in AI.
AI100,PRODUCT,2,,,4 The State of the Art Stanford University’s One Hundred Year Study on AI (also known as AI100) convenes panels of experts to provide reports on the state of the art in AI.
Stone,ORG,1,,,Their 2016 report (Stone et al.
Grosz and Stone,WORK_OF_ART,1,,,", 2016; Grosz and Stone, 2018) concludes that “Substantial increases in the future uses of AI applications, including more self-driving cars, healthcare diagnostics and targeted treatment, and physical assistance for elder care can be expected” and that “Society is now at a crucial juncture in determining how to deploy AI-based technologies in ways that promote rather than hinder democratic values such as freedom, equality, and transparency."
the U. S.,GPE,4,,,•Students: Course enrollment increased 5-fold in the U. S. and 16-fold internationally from a 2010 baseline.
Computer Science,ORG,1,,,AI is the most popular specialization in Computer Science.
AI Professors,ORG,1,,,"•Diversity: AI Professors worldwide are about 80% male, 20% female."
Attendance,PERSON,1,,,"•Conferences: Attendance at NeurIPS increased 800% since 2012 to 13, 500 attendees."
Singapore,GPE,1,,,"Singapore, Brazil, Australia, Canada, and India are the fastest growing countries in terms of the number of AI hires."
Brazil,GPE,1,,,"Singapore, Brazil, Australia, Canada, and India are the fastest growing countries in terms of the number of AI hires."
Australia,GPE,15,,,"Singapore, Brazil, Australia, Canada, and India are the fastest growing countries in terms of the number of AI hires."
Canada,GPE,1,,,"Singapore, Brazil, Australia, Canada, and India are the fastest growing countries in terms of the number of AI hires."
LSVRC,GPE,1,,,"•Vision: Error rates for object detection (as achieved in LSVRC, the Large-Scale Visual Recognition Challenge) improved from 28% in 2010 to 2% in 2017, exceeding human performance."
the Large-Scale Visual Recognition Challenge,ORG,1,,,"•Vision: Error rates for object detection (as achieved in LSVRC, the Large-Scale Visual Recognition Challenge) improved from 28% in 2010 to 2% in 2017, exceeding human performance."
VQA,ORG,1,,,"Accuracy on open-ended visual question answering (VQA) improved from 55% to 68% since 2015, but lags behind human performance at 83%."
F1,GPE,3,,,"•Language: Accuracy on question answering, as measured by F1 score on the Stanford Question Answering Dataset (SQUAD), increased from 60 to 95 from 2015 to 2019; on the SQUAD 2 variant, progress was faster, going from 62 to 90 in just one year."
the Stanford Question Answering Dataset,ORG,1,,,"•Language: Accuracy on question answering, as measured by F1 score on the Stanford Question Answering Dataset (SQUAD), increased from 60 to 95 from 2015 to 2019; on the SQUAD 2 variant, progress was faster, going from 62 to 90 in just one year."
Pac-Man,ORG,1,,,"•Human benchmarks: By 2019, AI systems had reportedly met or exceeded human-level performance in chess, Go, poker, Pac-Man, Jeopardy!"
StarCraft II,EVENT,1,,,", ImageNet object detection, speech recognition in a limited domain, Chinese-to-English translation in a restricted domain, Quake III, Dota 2, StarCraft II, various Atari games, skin cancer detection, prostate cancer detection, protein folding, and diabetic retinopathy diagnosis."
Atari,ORG,1,,,", ImageNet object detection, speech recognition in a limited domain, Chinese-to-English translation in a restricted domain, Quake III, Dota 2, StarCraft II, various Atari games, skin cancer detection, prostate cancer detection, protein folding, and diabetic retinopathy diagnosis."
Ford,ORG,3,,,"Ford (2018) interviews AI experts and finds a wide range of target years, from 2029 to 2200, with a mean of 2099."
Grace et al.,ORG,1,,,In a similar survey (Grace et al.
Philip Tetlock,ORG,1,,,"But don’t take their predictions too seriously; as Philip Tetlock (2017) demonstrates in the area of predicting world events, experts are no better than amateurs."
Zapp,ORG,1,,,", 1986; Dickmanns and Zapp, 1987)."
DARPA Grand Challenge,ORG,1,,,"After successful demonstrations of driving on dirt roads in the 132-mile DARPA Grand Challenge in 2005 (Thrun, 2006) and on streets with traffic in the 2007 Urban Challenge, the race to develop self-driving cars began in earnest."
Thrun,GPE,1,,,"After successful demonstrations of driving on dirt roads in the 132-mile DARPA Grand Challenge in 2005 (Thrun, 2006) and on streets with traffic in the 2007 Urban Challenge, the race to develop self-driving cars began in earnest."
Urban Challenge,ORG,1,,,"After successful demonstrations of driving on dirt roads in the 132-mile DARPA Grand Challenge in 2005 (Thrun, 2006) and on streets with traffic in the 2007 Urban Challenge, the race to develop self-driving cars began in earnest."
Waymo,WORK_OF_ART,1,,,"In 2018, Waymo test vehicles passed the landmark of 10 million miles driven on public roads without a serious accident, with the human driver stepping in to take over control only once every 6, 000 miles."
Rwanda,GPE,1,,,"In the air, autonomous fixed-wing drones have been providing cross-country blood deliveries in Rwanda since 2016."
Raibert,PERSON,1,,,"Legged locomotion: BigDog, a quadruped robot by Raibert et al."
al,PERSON,7,,,"Legged locomotion: BigDog, a quadruped robot by Raibert et al."
Hollywood,GPE,1,,,"(2008), upended our notions of how robots move—no longer the slow, stiff-legged, side-to-side gait of Hollywood movie robots, but something closely resembling an animal and able to recover when shoved or when slipping on an icy puddle."
