术语,出现次数,领域分类,建议译法（人工填写）,校验结果（通过/修改）
nondeterminism,7,通用术语,,
suboptimal,7,通用术语,,
literature,7,通用术语,,
saying,7,通用术语,,
two-dimensional,7,通用术语,,
shortest,7,通用术语,,
colored,7,通用术语,,
uniform,7,通用术语,,
cyclic,7,通用术语,,
dark,7,通用术语,,
speedup,7,通用术语,,
reducing,7,通用术语,,
gray,7,通用术语,,
purple,7,通用术语,,
-value,7,通用术语,,
manhattan,7,通用术语,,
helpful,7,通用术语,,
metalevel,7,通用术语,,
ridge,7,通用术语,,
restarts,7,通用术语,,
and–or,7,通用术语,,
-consistency,7,通用术语,,
-consistent,7,通用术语,,
inconsistency,7,通用术语,,
mrv,7,通用术语,,
symmetry,7,通用术语,,
introduction,6,通用术语,,
complicated,6,通用术语,,
discovered,6,通用术语,,
perception,6,通用术语,,
playing,6,通用术语,,
statistic,6,通用术语,,
alan,6,通用术语,,
person,6,通用术语,,
draw,6,通用术语,,
engineer,6,通用术语,,
modeling,6,通用术语,,
operating,6,通用术语,,
content,6,通用术语,,
cognition,6,通用术语,,
develop,6,通用术语,,
arithmetic,6,通用术语,,
involve,6,通用术语,,
sentence,6,通用术语,,
society,6,通用术语,,
decade,6,通用术语,,
focused,6,通用术语,,
policy,6,通用术语,,
account,6,通用术语,,
feasible,6,通用术语,,
enough,6,通用术语,,
developing,6,通用术语,,
devised,6,通用术语,,
art,6,通用术语,,
free,6,通用术语,,
source,6,通用术语,,
famous,6,通用术语,,
philosopher,6,通用术语,,
correspond,6,通用术语,,
maximizing,6,通用术语,,
propositional,6,通用术语,,
extended,6,通用术语,,
incomplete,6,通用术语,,
annual,6,通用术语,,
prove,6,通用术语,,
strong,6,通用术语,,
polynomial,6,通用术语,,
reasonable,6,通用术语,,
electronic,6,通用术语,,
resource,6,通用术语,,
desire,6,通用术语,,
resurgence,6,通用术语,,
largest,6,通用术语,,
candidate,6,通用术语,,
recording,6,通用术语,,
remarkable,6,通用术语,,
capacity,6,通用术语,,
shape,6,通用术语,,
kept,6,通用术语,,
changed,6,通用术语,,
james,6,通用术语,,
united,6,通用术语,,
directed,6,通用术语,,
temperature,6,通用术语,,
accident,6,通用术语,,
feedback,6,通用术语,,
minimize,6,通用术语,,
behave,6,通用术语,,
limitation,6,通用术语,,
theorist,6,通用术语,,
turned,6,通用术语,,
equivalent,6,通用术语,,
demonstrated,6,通用术语,,
subsequent,6,通用术语,,
optimistic,6,通用术语,,
preferred,6,通用术语,,
champion,6,通用术语,,
appeared,6,通用术语,,
came,6,通用术语,,
government,6,通用术语,,
domain-specific,6,通用术语,,
endral,6,通用术语,,
reduces,6,通用术语,,
medical,6,通用术语,,
diagnosis,6,通用术语,,
saving,6,通用术语,,
removed,6,通用术语,,
none,6,通用术语,,
billion,6,通用术语,,
fail,6,通用术语,,
closer,6,通用术语,,
compare,6,通用术语,,
competition,6,通用术语,,
big,6,通用术语,,
web,6,通用术语,,
refers,6,通用术语,,
filled,6,通用术语,,
ensure,6,通用术语,,
continues,6,通用术语,,
rise,6,通用术语,,
everything,6,通用术语,,
weapon,6,通用术语,,
criterion,6,通用术语,,
expensive,6,通用术语,,
life,6,通用术语,,
attack,6,通用术语,,
mentioned,6,通用术语,,
happy,6,通用术语,,
compared,6,通用术语,,
eye,6,通用术语,,
perceives,6,通用术语,,
illustrate,6,通用术语,,
dung,6,通用术语,,
independent,6,通用术语,,
pea,6,通用术语,,
lost,6,通用术语,,
divided,6,通用术语,,
handled,6,通用术语,,
generator,6,通用术语,,
vary,6,通用术语,,
depending,6,通用术语,,
specifies,6,通用术语,,
highest,6,通用术语,,
introduce,6,通用术语,,
spread,6,通用术语,,
mackworth,6,通用术语,,
analyzed,6,通用术语,,
execute,6,通用术语,,
simplified,6,通用术语,,
contingency,6,通用术语,,
ctions,6,通用术语,,
wall,6,通用术语,,
formulated,6,通用术语,,
15-puzzle,6,通用术语,,
expression,6,通用术语,,
airline,6,通用术语,,
save,6,通用术语,,
examine,6,通用术语,,
optimality,6,通用术语,,
detected,6,通用术语,,
worst-case,6,通用术语,,
contradiction,6,通用术语,,
satisfy,6,通用术语,,
memory-bounded,6,通用术语,,
double-headed,6,通用术语,,
diagonal,6,通用术语,,
i.e.,6,通用术语,,
sideways,6,通用术语,,
dna,6,通用术语,,
constrained,6,通用术语,,
dead,6,通用术语,,
singleton,6,通用术语,,
explorable,6,通用术语,,
violate,6,通用术语,,
higher-order,6,通用术语,,
tasmania,6,通用术语,,
no-good,6,通用术语,,
perceive,5,通用术语,,
manipulate,5,通用术语,,
newton,5,通用术语,,
subfields,5,通用术语,,
writing,5,通用术语,,
diagnosing,5,通用术语,,
universal,5,通用术语,,
philosophical,5,通用术语,,
pass,5,通用术语,,
pas,5,通用术语,,
interaction,5,通用术语,,
devoted,5,通用术语,,
started,5,通用术语,,
comparing,5,通用术语,,
leave,5,通用术语,,
performs,5,通用术语,,
claim,5,通用术语,,
reality,5,通用术语,,
rigorous,5,通用术语,,
construction,5,通用术语,,
slower,5,通用术语,,
achieving,5,通用术语,,
specification,5,通用术语,,
creation,5,通用术语,,
reward,5,通用术语,,
guide,5,通用术语,,
self-driving,5,通用术语,,
steering,5,通用术语,,
incorrect,5,通用术语,,
bce,5,通用术语,,
proper,5,通用术语,,
constructed,5,通用术语,,
wrote,5,通用术语,,
intended,5,通用术语,,
gave,5,通用术语,,
clear,5,通用术语,,
deciding,5,通用术语,,
dual,5,通用术语,,
hold,5,通用术语,,
cloak,5,通用术语,,
suggesting,5,通用术语,,
doctor,5,通用术语,,
certainty,5,通用术语,,
traced,5,通用术语,,
consideration,5,通用术语,,
importance,5,通用术语,,
describing,5,通用术语,,
measurement,5,通用术语,,
advanced,5,通用术语,,
crucial,5,通用术语,,
exist,5,通用术语,,
identify,5,通用术语,,
np-complete,5,通用术语,,
optimism,5,通用术语,,
originated,5,通用术语,,
smith,5,通用术语,,
noticed,5,通用术语,,
von,5,通用术语,,
economic,5,通用术语,,
randomized,5,通用术语,,
bellman,5,通用术语,,
markov,5,通用术语,,
apparent,5,通用术语,,
identifying,5,通用术语,,
week,5,通用术语,,
stored,5,通用术语,,
digital,5,通用术语,,
methodology,5,通用术语,,
behaviorist,5,通用术语,,
craik,5,通用术语,,
face,5,通用术语,,
review,5,通用术语,,
country,5,通用术语,,
received,5,通用术语,,
core,5,通用术语,,
clock,5,通用术语,,
desirable,5,通用术语,,
created,5,通用术语,,
pitt,5,通用术语,,
explored,5,通用术语,,
feigenbaum,5,通用术语,,
hinton,5,通用术语,,
switch,5,通用术语,,
sufficient,5,通用术语,,
simulate,5,通用术语,,
ibm,5,通用术语,,
human-level,5,通用术语,,
dartmouth,5,通用术语,,
mit,5,通用术语,,
symbol,5,通用术语,,
learned,5,通用术语,,
play,5,通用术语,,
lpha,5,通用术语,,
normal,5,通用术语,,
moved,5,通用术语,,
story,5,通用术语,,
contained,5,通用术语,,
spectrum,5,通用术语,,
expect,5,通用术语,,
reflect,5,通用术语,,
commercial,5,通用术语,,
schank,5,通用术语,,
robust,5,通用术语,,
widespread,5,通用术语,,
exceed,5,通用术语,,
technology,5,通用术语,,
broad,5,通用术语,,
maintain,5,通用术语,,
suggests,5,通用术语,,
reference,5,通用术语,,
medium,5,通用术语,,
imagenet,5,通用术语,,
isolated,5,通用术语,,
hmms,5,通用术语,,
shift,5,通用术语,,
visual,5,通用术语,,
category,5,通用术语,,
gain,5,通用术语,,
algorithmic,5,通用术语,,
index,5,通用术语,,
baseline,5,通用术语,,
stated,5,通用术语,,
detection,5,通用术语,,
split,5,通用术语,,
navigation,5,通用术语,,
past,5,通用术语,,
sign,5,通用术语,,
achieves,5,通用术语,,
climate,5,通用术语,,
longer,5,通用术语,,
warning,5,通用术语,,
defines,5,通用术语,,
replaced,5,通用术语,,
site,5,通用术语,,
specifying,5,通用术语,,
remain,5,通用术语,,
lifetime,5,通用术语,,
distribution,5,通用术语,,
beetle,5,通用术语,,
violated,5,通用术语,,
caterpillar,5,通用术语,,
continue,5,通用术语,,
trip,5,通用术语,,
varying,5,通用术语,,
appendix,5,通用术语,,
trivial,5,通用术语,,
therefore,5,通用术语,,
considers,5,通用术语,,
attribute,5,通用术语,,
relationship,5,通用术语,,
share,5,通用术语,,
drobeta,5,通用术语,,
traveling,5,通用术语,,
closed,5,通用术语,,
complication,5,通用术语,,
standardized,5,通用术语,,
factorial,5,通用术语,,
explores,5,通用术语,,
travel,5,通用术语,,
leaving,5,通用术语,,
tsp,5,通用术语,,
vlsi,5,通用术语,,
est,5,通用术语,,
irst,5,通用术语,,
earlier,5,通用术语,,
minimal,5,通用术语,,
dijkstra,5,通用术语,,
returned,5,通用术语,,
lowest-cost,5,通用术语,,
deepest,5,通用术语,,
solves,5,通用术语,,
cutoff,5,通用术语,,
meet,5,通用术语,,
half,5,通用术语,,
inadmissible,5,通用术语,,
dot,5,通用术语,,
combining,5,通用术语,,
executes,5,通用术语,,
resembles,5,通用术语,,
drop,5,通用术语,,
rubik,5,通用术语,,
breaking,5,通用术语,,
shortcut,5,通用术语,,
1-2-3-4,5,通用术语,,
approximation,5,通用术语,,
pohl,5,通用术语,,
upper,5,通用术语,,
gene,5,通用术语,,
placing,5,通用术语,,
erratic,5,通用术语,,
slippery,5,通用术语,,
computes,5,通用术语,,
reversible,5,通用术语,,
tuples,5,通用术语,,
unassigned,5,通用术语,,
cryptarithmetic,5,通用术语,,
prof.,5,通用术语,,
assigning,5,通用术语,,
nference,5,通用术语,,
mainland,5,通用术语,,
beek,5,通用术语,,
freuder,5,通用术语,,
intellectual,4,通用术语,,
characterization,4,通用术语,,
helped,4,通用术语,,
passed,4,通用术语,,
circumstance,4,通用术语,,
demonstrate,4,通用术语,,
allen,4,通用术语,,
textbook,4,通用术语,,
analyzing,4,通用术语,,
understood,4,通用术语,,
comprehensive,4,通用术语,,
emphasis,4,通用术语,,
definite,4,通用术语,,
minimizes,4,通用术语,,
maker,4,通用术语,,
refinement,4,通用术语,,
safety,4,通用术语,,
shaking,4,通用术语,,
fix,4,通用术语,,
deployed,4,通用术语,,
pursuing,4,通用术语,,
contributed,4,通用术语,,
viewpoint,4,通用术语,,
functional,4,通用术语,,
german,4,通用术语,,
scope,4,通用术语,,
joint,4,通用术语,,
operates,4,通用术语,,
fall,4,通用术语,,
held,4,通用术语,,
treated,4,通用术语,,
entity,4,通用术语,,
david,4,通用术语,,
acquired,4,通用术语,,
sensory,4,通用术语,,
analyze,4,通用术语,,
picture,4,通用术语,,
covering,4,通用术语,,
ethic,4,通用术语,,
produced,4,通用术语,,
monetary,4,通用术语,,
daniel,4,通用术语,,
determined,4,通用术语,,
allowable,4,通用术语,,
lie,4,通用术语,,
fundamental,4,通用术语,,
boole,4,通用术语,,
motivated,4,通用术语,,
availability,4,通用术语,,
insisted,4,通用术语,,
growth,4,通用术语,,
pioneered,4,通用术语,,
believe,4,通用术语,,
economy,4,通用术语,,
pay,4,通用术语,,
heading,4,通用术语,,
economist,4,通用术语,,
exception,4,通用术语,,
address,4,通用术语,,
listed,4,通用术语,,
britain,4,通用术语,,
satisficing,4,通用术语,,
head,4,通用术语,,
mental,4,通用术语,,
recognized,4,通用术语,,
patient,4,通用术语,,
organization,4,通用术语,,
center,4,通用术语,,
fiber,4,通用术语,,
dendrite,4,通用术语,,
axon,4,通用术语,,
junction,4,通用术语,,
short,4,通用术语,,
containing,4,通用术语,,
receive,4,通用术语,,
invention,4,通用术语,,
motor,4,通用术语,,
supercomputer,4,通用术语,,
approaching,4,通用术语,,
conceptual,4,通用术语,,
pyramidal,4,通用术语,,
origin,4,通用术语,,
behaviorism,4,通用术语,,
safer,4,通用术语,,
donald,4,通用术语,,
phenomenon,4,通用术语,,
month,4,通用术语,,
chomsky,4,通用术语,,
team,4,通用术语,,
high-level,4,通用术语,,
support,4,通用术语,,
cpu,4,通用术语,,
card,4,通用术语,,
babbage,4,通用术语,,
analytical,4,通用术语,,
jump,4,通用术语,,
window,4,通用术语,,
artifact,4,通用术语,,
norbert,4,通用术语,,
—the,4,通用术语,,
mcculloch,4,通用术语,,
ashby,4,通用术语,,
matrix,4,通用术语,,
linguistics,4,通用术语,,
linguist,4,通用术语,,
hybrid,4,通用术语,,
seemed,4,通用术语,,
context,4,通用术语,,
summarize,4,通用术语,,
marvin,4,通用术语,,
arthur,4,通用术语,,
teaching,4,通用术语,,
race,4,通用术语,,
bring,4,通用术语,,
propose,4,通用术语,,
tricky,4,通用术语,,
advice,4,通用术语,,
resolution,4,通用术语,,
shakey,4,通用术语,,
latter,4,通用术语,,
integration,4,通用术语,,
geometric,4,通用术语,,
coming,4,通用术语,,
concrete,4,通用术语,,
failed,4,通用术语,,
lack,4,通用术语,,
dozen,4,通用术语,,
combinatorial,4,通用术语,,
ycin,4,通用术语,,
corporation,4,通用术语,,
adopted,4,通用术语,,
analogous,4,通用术语,,
parallel,4,通用术语,,
industry,4,通用术语,,
specialized,4,通用术语,,
caused,4,通用术语,,
direct,4,通用术语,,
wave,4,通用术语,,
output,4,通用术语,,
repository,4,通用术语,,
answering,4,通用术语,,
sat,4,通用术语,,
frame,4,通用术语,,
training,4,通用术语,,
bayesian,4,通用术语,,
formalism,4,通用术语,,
connecting,4,通用术语,,
factory,4,通用术语,,
removal,4,通用术语,,
recover,4,通用术语,,
occurred,4,通用术语,,
news,4,通用术语,,
ethical,4,通用术语,,
diversity,4,通用术语,,
challenge,4,通用术语,,
predicting,4,通用术语,,
constructing,4,通用术语,,
execution,4,通用术语,,
google,4,通用术语,,
recommend,4,通用术语,,
diverse,4,通用术语,,
liu,4,通用术语,,
weather,4,通用术语,,
opportunity,4,通用术语,,
personnel,4,通用术语,,
supply,4,通用术语,,
technical,4,通用术语,,
contribute,4,通用术语,,
midas,4,通用术语,,
member,4,通用术语,,
modification,4,通用术语,,
date,4,通用术语,,
principal,4,通用术语,,
background,4,通用术语,,
aaai,4,通用术语,,
named,4,通用术语,,
perfection,4,通用术语,,
perceiving,4,通用术语,,
mark,4,通用术语,,
built-in,4,通用术语,,
vacuum-cleaning,4,通用术语,,
succeed,4,通用术语,,
unbounded,4,通用术语,,
absolute,4,通用术语,,
evaluate,4,通用术语,,
cleaned,4,通用术语,,
penalty,4,通用术语,,
paragraph,4,通用术语,,
break,4,通用术语,,
low,4,通用术语,,
forth,4,通用术语,,
fare,4,通用术语,,
distinguish,4,通用术语,,
sphex,4,通用术语,,
burrow,4,通用术语,,
seldom,4,通用术语,,
stray,4,通用术语,,
worry,4,通用术语,,
unobserved,4,通用术语,,
synonym,4,通用术语,,
episode,4,通用术语,,
simpler,4,通用术语,,
applies,4,通用术语,,
prefers,4,通用术语,,
cut,4,通用术语,,
remember,4,通用术语,,
retains,4,通用术语,,
desired,4,通用术语,,
explains,4,通用术语,,
ignoring,4,通用术语,,
condition–action,4,通用术语,,
sort,4,通用术语,,
pdate,4,通用术语,,
straight,4,通用术语,,
expressed,4,通用术语,,
determines,4,通用术语,,
suggest,4,通用术语,,
improving,4,通用术语,,
unrelated,4,通用术语,,
spin,4,通用术语,,
bishop,4,通用术语,,
dominates,4,通用术语,,
urziceni,4,通用术语,,
mehadia,4,通用术语,,
oal,4,通用术语,,
ost,4,通用术语,,
removing,4,通用术语,,
knuth,4,通用术语,,
routing,4,通用术语,,
extra,4,通用术语,,
waiting,4,通用术语,,
saved,4,通用术语,,
layout,4,通用术语,,
generalization,4,通用术语,,
unexpanded,4,通用术语,,
interior,4,通用术语,,
pointer,4,通用术语,,
priority,4,通用术语,,
pop,4,通用术语,,
chain,4,通用术语,,
link,4,通用术语,,
smallest,4,通用术语,,
discarded,4,通用术语,,
acyclic,4,通用术语,,
proportional,4,通用术语,,
iterative-deepening,4,通用术语,,
backwards,4,通用术语,,
shallowest,4,通用术语,,
admissibility,4,通用术语,,
overestimate,4,通用术语,,
nearest,4,通用术语,,
stronger,4,通用术语,,
felner,4,通用术语,,
concentric,4,通用术语,,
monotonic,4,通用术语,,
prune,4,通用术语,,
guarantee,4,通用术语,,
recursion,4,通用术语,,
unwinds,4,通用术语,,
deletes,4,通用术语,,
saw,4,通用术语,,
optimal-cost,4,通用术语,,
inefficient,4,通用术语,,
cube,4,通用术语,,
displayed,4,通用术语,,
encountered,4,通用术语,,
5-6-7-8,4,通用术语,,
disjoint,4,通用术语,,
harder,4,通用术语,,
approximate,4,通用术语,,
selects,4,通用术语,,
examined,4,通用术语,,
gaschnig,4,通用术语,,
hansen,4,通用术语,,
consecutive,4,通用术语,,
relax,4,通用术语,,
elevation,4,通用术语,,
one-dimensional,4,通用术语,,
random-restart,4,通用术语,,
np-hard,4,通用术语,,
recombination,4,通用术语,,
positioned,4,通用术语,,
retained,4,通用术语,,
trait,4,通用术语,,
baldwin,4,通用术语,,
morgan,4,通用术语,,
newton–raphson,4,通用术语,,
enclosed,4,通用术语,,
twelfth,4,通用术语,,
transform,4,通用术语,,
local-sensing,4,通用术语,,
inspect,4,通用术语,,
offline,4,通用术语,,
encircled,4,通用术语,,
nline,4,通用术语,,
-dfs-a,4,通用术语,,
-queens,4,通用术语,,
quadratic,4,通用术语,,
terminal,4,通用术语,,
enforcing,4,通用术语,,
arc-consistency,4,通用术语,,
delete,4,通用术语,,
deleted,4,通用术语,,
pawn,4,通用术语,,
least-constraining-value,4,通用术语,,
mac,4,通用术语,,
conflict-directed,4,通用术语,,
conditioning,4,通用术语,,
hypertree,4,通用术语,,
dollar,3,通用术语,,
huge,3,通用术语,,
proving,3,通用术语,,
claimed,3,通用术语,,
pursued,3,通用术语,,
prefer,3,通用术语,,
plenty,3,通用术语,,
communicate,3,通用术语,,
introspection,3,通用术语,,
catch,3,通用术语,,
psychological,3,通用术语,,
express,3,通用术语,,
brings,3,通用术语,,
investigation,3,通用术语,,
vice,3,通用术语,,
versa,3,通用术语,,
greek,3,通用术语,,
argument,3,通用术语,,
yielded,3,通用术语,,
premise,3,通用术语,,
canonical,3,通用术语,,
man,3,通用术语,,
mortal,3,通用术语,,
concludes,3,通用术语,,
initiated,3,通用术语,,
tradition,3,通用术语,,
gap,3,通用术语,,
raw,3,通用术语,,
perceptual,3,通用术语,,
rational-agent,3,通用术语,,
controller,3,通用术语,,
loss,3,通用术语,,
beneficial,3,通用术语,,
assumes,3,通用术语,,
acceleration,3,通用术语,,
agreement,3,通用术语,,
lab,3,通用术语,,
chessboard,3,通用术语,,
noise,3,通用术语,,
anticipate,3,通用术语,,
concentrate,3,通用术语,,
wish,3,通用术语,,
impression,3,通用术语,,
ultimate,3,通用术语,,
philosophy,3,通用术语,,
informal,3,通用术语,,
calculating,3,通用术语,,
wilhelm,3,通用术语,,
rock,3,通用术语,,
stand,3,通用术语,,
francis,3,通用术语,,
association,3,通用术语,,
accompanied,3,通用术语,,
iii,3,通用术语,,
deliberate,3,通用术语,,
becoming,3,通用术语,,
gambling,3,通用术语,,
bernoulli,3,通用术语,,
george,3,通用术语,,
frege,3,通用术语,,
payoff,3,通用术语,,
statistical,3,通用术语,,
brought,3,通用术语,,
nontrivial,3,通用术语,,
europe,3,通用术语,,
deduction,3,通用术语,,
elementary,3,通用术语,,
emphasized,3,通用术语,,
karp,3,通用术语,,
wealth,3,通用术语,,
moral,3,通用术语,,
pointing,3,通用术语,,
investment,3,通用术语,,
optimize,3,通用术语,,
formalized,3,通用术语,,
nobel,3,通用术语,,
prize,3,通用术语,,
neuroscience,3,通用术语,,
seat,3,通用术语,,
production,3,通用术语,,
accepted,3,通用术语,,
extends,3,通用术语,,
projection,3,通用术语,,
stretch,3,通用术语,,
scale,3,通用术语,,
signal,3,通用术语,,
long-term,3,通用术语,,
outer,3,通用术语,,
extending,3,通用术语,,
promise,3,通用术语,,
storage,3,通用术语,,
superhuman,3,通用术语,,
unlimited,3,通用术语,,
breakthrough,3,通用术语,,
transparent,3,通用术语,,
outside,3,通用术语,,
crude,3,通用术语,,
helmholtz,3,通用术语,,
wundt,3,通用术语,,
controlled,3,通用术语,,
worker,3,通用术语,,
studying,3,通用术语,,
watson,3,通用术语,,
ground,3,通用术语,,
stimulus,3,通用术语,,
talk,3,通用术语,,
translated,3,通用术语,,
manipulated,3,通用术语,,
communication,3,通用术语,,
robinson,3,通用术语,,
military,3,通用术语,,
expectation,3,通用术语,,
gpu,3,通用术语,,
doubling,3,通用术语,,
took,3,通用术语,,
charles,3,通用术语,,
colleague,3,通用术语,,
lovelace,3,通用术语,,
unfortunately,3,通用术语,,
supplied,3,通用术语,,
rapid,3,通用术语,,
maintained,3,通用术语,,
flow,3,通用术语,,
late,3,通用术语,,
walter,3,通用术语,,
organized,3,通用术语,,
adaptive,3,通用术语,,
familiar,3,通用术语,,
founded,3,通用术语,,
perceived,3,通用术语,,
tied,3,通用术语,,
reddy,3,通用术语,,
occurring,3,通用术语,,
lecture,3,通用术语,,
raised,3,通用术语,,
college,3,通用术语,,
interested,3,通用术语,,
summer,3,通用术语,,
editor,3,通用术语,,
establishment,3,通用术语,,
embody,3,通用术语,,
precursor,3,通用术语,,
manufacturing,3,通用术语,,
contribution,3,通用术语,,
taker,3,通用术语,,
suffice,3,通用术语,,
embodied,3,通用术语,,
tom,3,通用术语,,
patrick,3,通用术语,,
winston,3,通用术语,,
winograd,3,通用术语,,
widrow,3,通用术语,,
perceptrons,3,通用术语,,
visible,3,通用术语,,
faster,3,通用术语,,
friedberg,3,通用术语,,
lighthill,3,通用术语,,
british,3,通用术语,,
recognize,3,通用术语,,
funding,3,通用术语,,
narrow,3,通用术语,,
buchanan,3,通用术语,,
fragment,3,通用术语,,
observed,3,通用术语,,
special-purpose,3,通用术语,,
blood,3,通用术语,,
tiny,3,通用术语,,
prolog,3,通用术语,,
chip,3,通用术语,,
met,3,通用术语,,
specie,3,通用术语,,
parameter,3,通用术语,,
existing,3,通用术语,,
brand-new,3,通用术语,,
base,3,通用术语,,
benchmark,3,通用术语,,
satisfiability,3,通用术语,,
mcallester,3,通用术语,,
classical,3,通用术语,,
illustrates,3,通用术语,,
hidden,3,通用术语,,
acceptance,3,通用术语,,
majority,3,通用术语,,
indicate,3,通用术语,,
refer,3,通用术语,,
magnitude,3,通用术语,,
victory,3,通用术语,,
jeopardy,3,通用术语,,
exceeded,3,通用术语,,
silver,3,通用术语,,
exceeding,3,通用术语,,
assistance,3,通用术语,,
publication,3,通用术语,,
bias,3,通用术语,,
measured,3,通用术语,,
poker,3,通用术语,,
cancer,3,通用术语,,
ford,3,通用术语,,
target,3,通用术语,,
serious,3,通用术语,,
air,3,通用术语,,
walker,3,通用术语,,
port,3,通用术语,,
render,3,通用术语,,
french,3,通用术语,,
english,3,通用术语,,
voice,3,通用术语,,
changing,3,通用术语,,
played,3,通用术语,,
brown,3,通用术语,,
sitting,3,通用术语,,
food,3,通用术语,,
extreme,3,通用术语,,
misuse,3,通用术语,,
primary,3,通用术语,,
monitor,3,通用术语,,
channel,3,通用术语,,
evaluating,3,通用术语,,
eliminating,3,通用术语,,
tends,3,通用术语,,
comparable,3,通用术语,,
setting,3,通用术语,,
devise,3,通用术语,,
subfield,3,通用术语,,
game-playing,3,通用术语,,
nil,3,通用术语,,
drawing,3,通用术语,,
gate,3,通用术语,,
gorilla,3,通用术语,,
stop,3,通用术语,,
undo,3,通用术语,,
reflects,3,通用术语,,
switched,3,通用术语,,
encoded,3,通用术语,,
overview,3,通用术语,,
ieee,3,通用术语,,
irrational,3,通用术语,,
prior,3,通用术语,,
wanted,3,通用术语,,
usage,3,通用术语,,
primitive,3,通用术语,,
button,3,通用术语,,
identified,3,通用术语,,
examining,3,通用术语,,
skeleton,3,通用术语,,
leg,3,通用术语,,
sound,3,通用术语,,
inside,3,通用术语,,
interact,3,通用术语,,
emphasize,3,通用术语,,
performed,3,通用术语,,
consumed,3,通用术语,,
pitfall,3,通用术语,,
implication,3,通用术语,,
safe,3,通用术语,,
poor,3,通用术语,,
tabulated,3,通用术语,,
omniscience,3,通用术语,,
autonomy,3,通用术语,,
nearby,3,通用术语,,
egg,3,通用术语,,
missing,3,通用术语,,
unable,3,通用术语,,
pedestrian,3,通用术语,,
flexible,3,通用术语,,
ticket,3,通用术语,,
usual,3,通用术语,,
array,3,通用术语,,
request,3,通用术语,,
virtual,3,通用术语,,
taxi-driving,3,通用术语,,
avoiding,3,通用术语,,
executed,3,通用术语,,
asking,3,通用术语,,
speedy,3,通用术语,,
hardest,3,通用术语,,
unfamiliar,3,通用术语,,
doomed,3,通用术语,,
initiate,3,通用术语,,
schematic,3,通用术语,,
denote,3,通用术语,,
abstracted,3,通用术语,,
clockwise,3,通用术语,,
wet,3,通用术语,,
guess,3,通用术语,,
flexibility,3,通用术语,,
indication,3,通用术语,,
indicating,3,通用术语,,
tip,3,通用术语,,
wire,3,通用术语,,
theme,3,通用术语,,
axis,3,通用术语,,
coordinate,3,通用术语,,
radio,3,通用术语,,
concise,3,通用术语,,
meaning,3,通用术语,,
tour,3,通用术语,,
concentrated,3,通用术语,,
genesereth,3,通用术语,,
wooldridge,3,通用术语,,
favor,3,通用术语,,
assumed,3,通用术语,,
mitchell,3,通用术语,,
multi-agent,3,通用术语,,
asymptotic,3,通用术语,,
touring,3,通用术语,,
romanian,3,通用术语,,
iasi,3,通用术语,,
hirsova,3,通用术语,,
executing,3,通用术语,,
arrive,3,通用术语,,
arrives,3,通用术语,,
enforcement,3,通用术语,,
irrelevant,3,通用术语,,
push,3,通用术语,,
two-cell,3,通用术语,,
designated,3,通用术语,,
scattered,3,通用术语,,
slide,3,通用术语,,
best-known,3,通用术语,,
numbered,3,通用术语,,
vertical,3,通用术语,,
furthermore,3,通用术语,,
sequencing,3,通用术语,,
forming,3,通用术语,,
exterior,3,通用术语,,
ath,3,通用术语,,
repeat,3,通用术语,,
repeating,3,通用术语,,
completeness,3,通用术语,,
implicit,3,通用术语,,
deeper,3,通用术语,,
yielding,3,通用术语,,
maintaining,3,通用术语,,
wandering,3,通用术语,,
discover,3,通用术语,,
storing,3,通用术语,,
unidirectional,3,通用术语,,
detour,3,通用术语,,
encloses,3,通用术语,,
suffer,3,通用术语,,
maintains,3,通用术语,,
8-puzzles,3,通用术语,,
pruning,3,通用术语,,
obey,3,通用术语,,
worrying,3,通用术语,,
trace,3,通用术语,,
centroid,3,通用术语,,
stopping,3,通用术语,,
american,3,通用术语,,
scheme,3,通用术语,,
michie,3,通用术语,,
ruml,3,通用术语,,
hierarchical,3,通用术语,,
confused,3,通用术语,,
—and,3,通用术语,,
shoulder,3,通用术语,,
steepest,3,通用术语,,
uphill,3,通用术语,,
downhill,3,通用术语,,
steepest-ascent,3,通用术语,,
porcupine,3,通用术语,,
depict,3,通用术语,,
alphabet,3,通用术语,,
reproduction,3,通用术语,,
genome,3,通用术语,,
appeal,3,通用术语,,
converge,3,通用术语,,
contingent,3,通用术语,,
ninth,3,通用术语,,
tenth,3,通用术语,,
eleventh,3,通用术语,,
belt,3,通用术语,,
gained,3,通用术语,,
illegal,3,通用术语,,
ignorance,3,通用术语,,
ercept,3,通用术语,,
east,3,通用术语,,
west,3,通用术语,,
localization,3,通用术语,,
interleaving,3,通用术语,,
adversary,3,通用术语,,
papadimitriou,3,通用术语,,
tabu,3,通用术语,,
gomes,3,通用术语,,
hoos,3,通用术语,,
coverage,3,通用术语,,
excellent,3,通用术语,,
montanari,3,通用术语,,
koenig,3,通用术语,,
variable/value,3,通用术语,,
tuple,3,通用术语,,
territory,3,通用术语,,
hubcap,3,通用术语,,
finite-domain,3,通用术语,,
auxiliary,3,通用术语,,
hypergraph,3,通用术语,,
-ary,3,通用术语,,
cop,3,通用术语,,
preprocessing,3,通用术语,,
node-consistent,3,通用术语,,
satisfied,3,通用术语,,
atmost,3,通用术语,,
elect,3,通用术语,,
nassigned,3,通用术语,,
ariable,3,通用术语,,
